id,name,technologies,platforms,numRegistrants,REGISTRANTS,numSubmitters,SUBMISSIONS,duration,prizes,winners,Challenge_Overview
30095596,"switch
tool
ui
issue
fix
","['Java', 'Angular 2+']",['Other'],11,"rahulranjanmca
akinwale
raunak1001
daga_sumit
Timor
csy2012
MihCoder
ouyangki
vishnu.k80
JITINDRA2093
phoenix1992",2,"rahulranjanmca
akinwale",863700000,[150.0],['akinwale'],"challenge
objective
fix
identify
issue
project
background
create
switch
tool
fix
bug
fix
technology
stack
java
angular
mysql
maven
pdf
parse
requirement
please
request
access
codebase
http
self
register
http
please
fix
follow
issue
https
https
http
please
fix
email
template
repo
accordingly
"
30095550,"switch
tool
fix
documentation
",['Java'],['Other'],6,"akinwale
codingdrone
Zhan8
iov
sparemax
duxiaoyang",2,"akinwale
iov",863700000,[50.0],['akinwale'],"challenge
objective
fix
documentation
repos
project
background
create
switch
tool
fix
bug
fix
technology
stack
java
angular
mysql
maven
pdf
parse
requirement
please
request
access
codebase
http
please
fix
variable
method
class
documentation
repos
ensure
complete
correct
"
30095514,"topcoder
connect
redesign
notification
sidebar
fix
","['ReactJS', 'SCSS']",['Other'],7,"akinwale
solokop
vlpro
Luxios
gauravseta
codingdrone
krisjen",1,akinwale,863700000,[130.0],['akinwale'],"add
existent
sidebar
component
notification
list
page
make
small
visual
fix
project
background
topcode
connect
application
topcoder
customer
use
topcoder
connect
input
requirement
project
manager
copilot
take
previous
challenge
create
user
sidebar
show
several
page
like
add
sidebar
one
page
technology
stack
react
redux
cs
module
code
access
work
challenge
do
one
repository
connect
app
repo
http
branch
user
test
provide
forum
individual
requirement
add
sidebar
notification
page
existent
sidebar
component
usersidebar
look
like
see
live
demo
deploy
mention
branch
locally
open
http
show
sidebar
page
notification
list
http
see
screenshot
center
current
ui
remain
space
keep
current
implement
mobile
device
add
one
menu
item
usersidebar
title
notification
lead
notification
page
reuse
twocolslayout
component
two
column
layout
like
do
project
list
page
keep
sidebar
stickable
see
demo
video
fix
another
similar
sidebar
component
show
project
detail
page
look
like
want
fix
couple
small
visual
issue
project
like
show
reference
code
new
design
show
date
show
line
date
round
background
see
explanation
background
color
label
rest
style
ref
code
padding
keep
like
old
design
create
project
use
customer
user
see
delete
button
currently
show
title
like
show
next
project
link
see
explanation
use
next
project
test
use
customer
user
provide
forum
general
requirement
make
unnecessary
change
code
make
easy
merge
change
work
parallel
style
use
color
https
new
color
introduce
design
please
replace
close
one
variables
exception
new
green
color
replace
blue
color
concern
regard
color
please
ask
forum
avoid
use
multilevel
nest
sc
use
cs
module
add
prefixes
nest
class
selector
use
global
cs
module
unless
change
global
style
new
style
use
global
user
react
redux
best
practice
standard
establish
repository
lint
pas
existent
unit
test
pass
git
patch
without
error
warning
question
concern
hesitate
raise
question
forum
"
30095466,"switch
tool
back
button
category
storage
","['Java', 'Angular 2+', 'MySQL']",['Other'],9,"sparemax
akinwale
armaan6651
rakeshhld
solokop
daga_sumit
sexta13
filipus8
linuxuser",1,akinwale,863700000,[100.0],['akinwale'],"challenge
objective
repo
add
back
button
offer
page
move
back
bill
comparision
page
repo
store
parse
data
category
separate
table
project
background
create
switch
tool
fix
bug
fix
technology
stack
java
angular
mysql
maven
pdf
parse
requirement
please
request
access
codebase
http
follow
issue
scope
https
http
make
sure
code
welll
document
lint
error
winner
send
mr
repos
"
30095272,"switch
tool
extract
previous
bill
summary
",['Java'],['Other'],15,"akinwale
Kamesh.Burde
raunak1001
rahulranjanmca
ashok.das1
inventionsbyhamid
JITINDRA2093
arulraj
TMALBONPH
gabcosta
Gando19850304
jacky.ma
phoenix1992
dpkdns
priyank.patidar",2,"akinwale
arulraj",863700000,[200.0],['akinwale'],"challenge
objective
update
bill
parser
parse
previous
bill
info
project
background
bill
parser
library
par
bill
data
pdf
file
improve
technology
stack
java
maven
pdf
parse
requirement
please
request
code
access
forum
http
check
screenshots
extract
https
make
sure
fix
work
sample
pdf
file
repo
make
sure
code
well
document
well
"
30094664,"switch
tool
bill
parser
fix
device
parsing
",['Java'],['Other'],11,"akinwale
corrterr
guoqizhou123123
tanmay26k
yagna247
w13611348910
GunaK-TopCoder
sridevi792
nkumarcm
manish_yadav
sparemax",1,akinwale,863700000,[50.0],['akinwale'],"challenge
objective
update
bill
parser
parse
device
make
model
correctly
project
background
bill
parser
library
par
bill
data
pdf
file
improve
technology
stack
java
maven
pdf
parse
requirement
please
request
code
access
forum
http
please
check
sample
json
output
see
make
model
parse
correctly
please
fix
http
please
make
sure
code
well
document
exist
functionality
broken
winner
send
mr
repo
"
30094980,"topcoder
profile
ui
fix
","['ReactJS', 'JavaScript', 'Node.js']",['Other'],8,"akinwale
dhruvit_r
krisjen
sparemax
Luxios
sasikumarn
daga_sumit
crazyk",2,"akinwale
dhruvit_r",690840000,[100.0],['akinwale'],"challenge
objective
fix
issue
profile
tool
screen
list
individual
requirement
project
background
process
migrate
many
legacy
page
platform
new
community
app
repo
base
new
technology
stack
improve
overall
user
experience
series
challenge
target
public
profile
page
profile
setting
page
base
new
design
attach
challenge
forum
available
registration
technology
stack
javascript
code
access
work
do
community
app
repo
branch
individual
requirement
profile
language
table
languages
add
sort
alphabetically
applicable
add
edit
flow
profile
work
current
checkbox
check
show
gray
shadow
end
date
box
expectation
end
date
box
appear
field
content
area
gray
field
bottom
issue
link
profile
work
space
enter
company
edit
add
button
press
error
message
show
company
field
state
company
blank
applicable
mandatory
field
education
work
hobby
basic
info
first
name
last
name
tool
software
tool
service
provider
tool
subscription
profile
work
currently
show
year
table
user
add
education
work
show
ex
instead
link
work
make
sure
education
important
note
follow
best
practice
establish
repository
use
library
http
current
reactjs
base
app
part
challenge
submission
also
improve
http
update
properly
use
redux
properly
split
code
reusable
react
component
conveniently
group
inside
folder
structure
violate
eslint
rule
js
code
stylelint
rule
scss
properly
use
style
use
sc
variable
mixins
global
stylesheets
especially
relate
color
font
etc
break
exist
unit
test
etc
doubt
hesitate
ask
clarification
challenge
forum
"
30093823,"medium
library
persistence
layer
use
docker
","['Docker', 'PostgreSQL']",['Other'],14,"akinwale
mulish
gets0ul
NagriChetan
alexissimpson
yuxi-zh
codingdrone
agnelvishal
antjohns
krisjen
JITINDRA2093
sparemax
rahulranjanmca
idivyangjain",2,"antjohns
akinwale",863700000,[150.0],['akinwale'],"description
build
persistence
layer
service
persistence
layer
use
postgresql
database
build
docker
container
necessary
docker
instance
cluster
achieve
cluster
postgresql
database
instance
tech
requirement
docker
image
base
late
stable
centos
version
docker
http
use
public
centos
base
docker
image
postgresql
version
late
stable
version
applicable
centos
possible
use
image
set
cluster
postgresql
instance
script
documentation
provide
run
cluster
postgresql
instance
cluster
environment
work
plain
docker
require
kubernetes
similar
work
docker
compose
use
refer
http
scripting
prefer
do
make
makefile
expect
result
fully
functional
docker
image
contain
postgresql
cluster
"
30093590,"topcoder
connect
wizard
skill
question
use
api
","['ReactJS', 'SCSS']",['Other'],13,"codingdrone
akinwale
krisjen
Gando19850304
mulish
jankyzhang
Knightcodes
nursoltan-s
daga_sumit
TICKET_46076
prabhsimran
shaheen90
sexta13",1,akinwale,863700000,[175.0],['akinwale'],"update
skill
question
get
data
api
instead
hardcoded
one
project
background
topcode
connect
client
face
application
topcoder
customer
use
topcoder
connect
input
requirement
project
manager
copilot
take
ability
create
new
project
fill
form
see
form
example
https
form
define
projecttemplate
json
recently
implement
new
question
type
skill
challenge
go
update
get
data
api
instead
use
data
hardcoded
template
json
technology
stack
react
redux
cs
module
code
access
work
challenge
do
one
repository
connect
app
repo
http
dev
branch
user
test
provide
forum
individual
requirement
projecttemplate
example
skill
question
type
define
https
look
like
https
component
already
work
go
change
format
template
json
next
one
skill
list
hardcoded
template
anymore
retrieve
server
template
represent
next
form
http
work
moment
work
make
change
get
skill
api
currently
list
skill
hardcoded
template
see
screenshot
instead
get
list
skill
api
call
next
endpoint
http
domain
endpoint
determine
variable
api
call
do
inside
skillsquestion
component
component
stay
independent
connect
app
move
another
repository
update
filter
category
currently
filter
skill
show
get
value
another
question
define
skillscategoriesfield
new
template
field
move
api
return
category
skill
match
value
question
form
match
use
field
template
example
look
like
categoriesmapping
design
design
develop
select
value
question
like
design
use
mapping
rule
provide
template
filter
select
category
skill
return
api
show
update
frequent
skill
show
skills
two
way
checkboxes
frequent
skill
select
rest
skill
currently
frequent
skill
mark
isfrequent
flag
inside
template
go
get
skill
api
flag
inside
template
new
field
list
skill
ids
frequent
use
list
determine
skill
frequent
verification
use
form
http
locally
test
new
template
format
update
old
form
http
work
change
challenge
logic
try
achieve
hardcoded
particular
template
general
logic
apply
templates
general
requirement
lint
pass
existent
unit
test
pass
"
30093043,"topcoder
activate
animation
load
placeholder
listing
page
","['ReactJS', 'JavaScript', 'Node.js']",['Other'],7,"menji
krisjen
sexta13
jankyzhang
alfiya_Zi
akinwale
gets0ul",3,"menji
akinwale
sexta13",863700000,[80.0],['akinwale'],"challenge
objective
fix
ticket
http
note
verification
video
mandatory
project
background
process
migrate
many
legacy
page
platform
new
community
app
repo
base
new
technology
stack
improve
overall
user
experience
series
challenge
target
public
profile
page
profile
setting
page
base
new
design
attach
challenge
forum
available
registration
technology
stack
javascript
code
access
work
do
community
app
repo
branch
topcoder
react
lib
repo
develop
branch
important
note
follow
best
practice
establish
repository
use
library
http
current
reactjs
base
app
part
challenge
submission
also
improve
http
update
properly
use
redux
properly
split
code
reusable
react
component
conveniently
group
inside
folder
structure
violate
eslint
rule
js
code
stylelint
rule
scss
properly
use
style
use
sc
variable
mixins
global
stylesheets
especially
relate
color
font
etc
break
exist
unit
test
etc
doubt
hesitate
ask
clarification
challenge
forum
"
