id,name,technologies,platforms,numRegistrants,numSubmitters,duration,prizes,winners
30126019,SIA - Smart Investment Advistor:  Python data conversion from XLSX to SQL,"['MySQL', 'Python', 'SQL']",['Other'],58,5,863700000,[150.0],['ZLATKO']
30125516,Android Barcode Scanner - Scan Multiple  Barcodes from WebView,['Android'],['Other'],23,4,863700000,[200.0],['Justin_rc']
30125517,iOS Barcode Scanner - Scan Multiple Barcodes from WebView,['Swift'],['Other'],9,4,863700000,[200.0],['seriyvolk83']
30125404,Infant Nutrition - Reviews analysis - historical data,['Other'],['Other'],26,1,863700000,[250.0],['anshh31']
30125393,Infant Nutrition - Product scraper - historical data,['Node.js'],['Other'],23,1,863700000,[250.0],['anshh31']
30125371,Dragonnet dRISK ReactJS Prototype - Resolution Optimization,"['ReactJS', 'CSS']",['HTML'],11,3,863700000,[150.0],['mearaj']
30124846,Topcoder Accounts App - Fix UI Problem For Login and Signup,['Node.js'],['Other'],14,1,863700000,[100.0],['kaldr']
30124547,Novus UI App Bug Fix,"['Angular 2+', 'Node.js']",['Other'],25,2,863700000,[250.0],['ouyangki']
30124553,GSAR - Phase 2(School) - Fix Accessibility Issues challenge Part 1,"['.NET', 'HTML', 'JavaScript', 'SQL Server', 'CSS']",['Windows'],17,1,863661349,[250.0],['FireIce']
30124555,GSAR - Phase 2(School) - Fix Accessibility Issues challenge Part 2,"['.NET', 'HTML', 'JavaScript', 'SQL Server', 'CSS']",['Windows'],15,1,863654329,[250.0],['FireIce']
30124552,GSAR - Phase 2(Campaign) - Fix Accessibility Issues challenge Part 1,"['.NET', 'HTML', 'JavaScript', 'SQL Server', 'CSS']",['Windows'],9,1,863658550,[250.0],['FireIce']
30124557,GSAR - Phase 2(Own a Goddard) - Fix Accessibility Issues challenge Part 1,"['.NET', 'Windows', 'HTML', 'JavaScript', 'CSS']",['Windows'],15,1,863642456,[100.0],['FireIce']
30124456,CRM - Search Validation Final Fixes,"['Angular 2+', 'TypeScript', 'Node.js']",['Other'],24,2,863676548,[200.0],['anonymousjaggu']
30124324,CRM - Billing API - Fix D365 Mock API,"['TypeScript', 'Node.js']",['Other'],17,1,863700000,[300.0],['lijulat']
30124241,Topcoder Legacy Challenge Migration Script - Upsert Records,"['Docker', 'AWS', 'Node.js', 'Elasticsearch']",['NodeJS'],6,1,863700000,[150.0],['xxcxy']
30124095,Topcoder - Challenge API V5 docker update,"['Docker', 'Node.js']",['Other'],22,6,863700000,[80.0],['fctorial']
