id,label,name,technologies,platforms,numRegistrants,REGISTRANTS,numSubmitters,SUBMISSIONS,duration,prizes,winners,Challenge_Overview
30097899,0,"gng
nc
api
format
update
","['Java', 'Python']",['Other'],18,"asr1986
Rushikesh.Deshp
Ksys
akinwale
Gando19850304
rahulranjanmca
krisjen
wenbin
axel_blaze
codingdrone
HeartWH
sparemax
NagaNC
samm0604x
vivek.kumar105
genycopedison
ZLATKO
Hiddenx",1,wenbin,863700000,[350.0],['wenbin'],"challenge
objective
update
java
python
backend
api
format
project
background
client
develop
specific
method
calculate
stress
pressure
value
calculation
currently
excel
workbook
goal
create
api
store
process
data
move
calculation
excel
codebase
challenge
update
service
support
frontend
ui
requirement
technology
stack
java
mongodb
code
access
base
code
available
forum
project
architecture
deployment
instruction
available
project
wiki
page
see
link
forum
individual
requirement
update
api
format
see
current
updated
api
format
change
calculation
require
change
format
save
data
differently
remove
ncscalculationcontroller
wellcontroller
remove
two
controller
related
updating
unit
test
readme
postman
collection
scope
make
sure
update
validation
python
java
backends
make
sure
keep
current
level
code
document
submit
source
code
git
patch
deployment
guide
"
30097820,0,"service
theater
simulator
integration
volume
set
module
",['Java'],['Other'],16,"codingdrone
ahmed.seddiq
_sushilshinde
krisjen
akinwale
mulish
rahulranjanmca
hritikwadhwa
sylar
sparemax
LieutenantRoger
HOE123
linuxuser
Rushikesh.Deshp
Rakesh.Sa
HeartWH",1,ahmed.seddiq,863700000,[300.0],['ahmed.seddiq'],"challenge
objective
ensure
module
work
correctly
project
background
service
theater
web
portal
provide
simplified
management
monitoring
analytics
report
data
center
environment
allow
enterprise
use
clouds
consume
nextgen
offering
characterize
fit
purpose
deliverable
model
leverage
northbound
apis
service
theater
bring
efficiency
multiple
level
allow
enterprise
embrace
heterogeneity
advantage
service
theater
allow
super
admin
add
nextgen
offering
datacenter
various
cloud
storage
vendor
enterprise
consumer
currently
service
theater
two
cloud
storage
two
vendor
ie
pure
storage
nexenta
technology
stack
tomcat
java
mysql
cloud
stack
ui
framework
code
access
http
please
request
access
forum
please
use
dev
branch
requirement
ensure
page
work
data
render
correctly
list
page
remove
column
api
response
may
add
column
make
sense
view
detail
page
show
field
api
response
map
enum
value
name
please
remove
field
map
response
field
ensure
user
add
delete
edit
successfully
note
volume
associate
loaded
db
handle
properly
well
volume
map
seem
simulator
api
please
fix
well
"
30097819,0,"service
theater
simulator
integration
host
set
module
",['Java'],['Other'],8,"codingdrone
ahmed.seddiq
krisjen
akinwale
mulish
rahulranjanmca
sparemax
HOE123",1,ahmed.seddiq,863700000,[300.0],['ahmed.seddiq'],"challenge
objective
ensure
module
work
correctly
project
background
service
theater
web
portal
provide
simplified
management
monitoring
analytics
report
data
center
environment
allow
enterprise
use
clouds
consume
nextgen
offering
characterize
fit
purpose
deliverable
model
leverage
northbound
apis
service
theater
bring
efficiency
multiple
level
allow
enterprise
embrace
heterogeneity
advantage
service
theater
allow
super
admin
add
nextgen
offering
datacenter
various
cloud
storage
vendor
enterprise
consumer
currently
service
theater
two
cloud
storage
two
vendor
ie
pure
storage
nexenta
technology
stack
tomcat
java
mysql
cloud
stack
ui
framework
code
access
http
please
request
access
forum
please
use
dev
branch
requirement
ensure
page
work
data
render
correctly
list
page
remove
column
api
response
may
add
column
make
sense
view
detail
page
show
field
api
response
map
enum
value
name
please
remove
field
map
response
field
ensure
user
add
delete
edit
successfully
note
host
associate
loaded
db
handle
properly
well
host
map
seem
simulator
api
please
fix
well
"
30097818,0,"service
theater
simulator
integration
volume
module
",['Java'],['Other'],10,"ahmed.seddiq
codingdrone
stevenfrog
krisjen
mulish
akinwale
rahulranjanmca
sparemax
abhilash1912
genycopedison",2,"stevenfrog
ahmed.seddiq",863700000,[300.0],['ahmed.seddiq'],"challenge
objective
ensure
volume
module
work
correctly
project
background
service
theater
web
portal
provide
simplified
management
monitoring
analytics
report
data
center
environment
allow
enterprise
use
clouds
consume
nextgen
offering
characterize
fit
purpose
deliverable
model
leverage
northbound
apis
service
theater
bring
efficiency
multiple
level
allow
enterprise
embrace
heterogeneity
advantage
service
theater
allow
super
admin
add
nextgen
offering
datacenter
various
cloud
storage
vendor
enterprise
consumer
currently
service
theater
two
cloud
storage
two
vendor
ie
pure
storage
nexenta
technology
stack
tomcat
java
mysql
cloud
stack
ui
framework
code
access
http
please
request
access
forum
please
use
dev
branch
requirement
ensure
page
work
data
render
correctly
list
page
remove
column
api
response
may
add
column
make
sense
view
detail
page
show
field
api
response
map
enum
value
name
please
remove
field
map
response
field
ensure
user
add
delete
edit
volume
successfully
screen
make
sure
issue
fix
http
"
30097817,0,"service
theater
simulator
integration
host
module
",['Java'],['Other'],11,"ahmed.seddiq
codingdrone
akinwale
krisjen
mulish
stevenfrog
rahulranjanmca
sparemax
harsh2212
_sushilshinde
samm0604x",2,"stevenfrog
ahmed.seddiq",863700000,[300.0],['ahmed.seddiq'],"challenge
objective
ensure
host
module
work
correctly
project
background
service
theater
web
portal
provide
simplified
management
monitoring
analytics
report
data
center
environment
allow
enterprise
use
clouds
consume
nextgen
offering
characterize
fit
purpose
deliverable
model
leverage
northbound
apis
service
theater
bring
efficiency
multiple
level
allow
enterprise
embrace
heterogeneity
advantage
service
theater
allow
super
admin
add
nextgen
offering
datacenter
various
cloud
storage
vendor
enterprise
consumer
currently
service
theater
two
cloud
storage
two
vendor
ie
pure
storage
nexenta
technology
stack
tomcat
java
mysql
cloud
stack
ui
framework
code
access
http
please
request
access
forum
please
use
dev
branch
requirement
ensure
page
work
data
render
correctly
list
page
remove
column
api
response
may
add
column
make
sense
view
detail
page
show
field
api
response
map
enum
value
name
please
remove
field
map
response
field
ensure
user
add
delete
edit
host
successfully
screen
make
sure
issue
fix
http
"
30097816,0,"service
theater
simulator
integration
cpg
module
",['Java'],['Other'],11,"Ohanzee
codingdrone
ahmed.seddiq
TICKET_46076
krisjen
akinwale
adk90
mulish
rahulranjanmca
stevenfrog
sparemax",2,"stevenfrog
ahmed.seddiq",863700000,[300.0],['ahmed.seddiq'],"challenge
objective
ensure
cpg
pool
module
work
correctly
project
background
service
theater
web
portal
provide
simplified
management
monitoring
analytics
report
data
center
environment
allow
enterprise
use
clouds
consume
nextgen
offering
characterize
fit
purpose
deliverable
model
leverage
northbound
apis
service
theater
bring
efficiency
multiple
level
allow
enterprise
embrace
heterogeneity
advantage
service
theater
allow
super
admin
add
nextgen
offering
datacenter
various
cloud
storage
vendor
enterprise
consumer
currently
service
theater
two
cloud
storage
two
vendor
ie
pure
storage
nexenta
technology
stack
tomcat
java
mysql
cloud
stack
ui
framework
code
access
http
please
request
access
forum
please
use
dev
branch
requirement
ensure
list
view
page
work
data
render
correctly
list
page
remove
column
api
response
may
add
column
make
sense
view
detail
page
show
field
api
response
map
enum
value
name
please
remove
field
map
response
field
ensure
user
add
delete
edit
cpg
successfully
screen
make
sure
issue
fix
http
"
30097756,0,"service
theater
simulator
integration
ensure
data
discovery
api
save
db
correctly
","['Java', 'MySQL']",['Other'],18,"rahulranjanmca
ahmed.seddiq
beingjd
amnrk
hritikwadhwa
priyalbansal15
akinwale
marshallmutiso
linuxuser
mulish
codingdrone
duxiaoyang
flick_23
Z.paint
k.mas
krisjen
sparemax
stevenfrog",1,ahmed.seddiq,792060000,[300.0],['ahmed.seddiq'],"challenge
objective
ensure
discovery
apis
work
simulator
data
save
db
correctly
project
background
service
theater
web
portal
provide
simplified
management
monitoring
analytics
report
data
center
environment
allow
enterprise
use
clouds
consume
nextgen
offering
characterize
fit
purpose
deliverable
model
leverage
northbound
apis
service
theater
bring
efficiency
multiple
level
allow
enterprise
embrace
heterogeneity
advantage
service
theater
allow
super
admin
add
nextgen
offering
datacenter
various
cloud
storage
vendor
enterprise
consumer
currently
service
theater
two
cloud
storage
two
vendor
ie
pure
storage
nexenta
technology
stack
tomcat
java
mysql
cloud
stack
ui
framework
code
access
http
please
request
access
forum
please
use
dev
branch
requirement
ensure
apis
discovery
process
work
simulator
correctly
apis
get
request
scope
discovery
make
authentication
api
simulator
work
well
token
refresh
expired
ensure
discovery
apis
return
data
well
ask
u
add
data
return
data
save
database
correctly
"
30096591,0,"switch
tool
fix
att
parser
new
pdfs
",['Java'],['Other'],8,"rahulranjanmca
akinwale
codingdrone
arulraj
SandhiyaDesai
krisjen
harish.gowda4
Sunrise_Yang",2,"rahulranjanmca
arulraj",863700000,[50.0],['arulraj'],"challenge
objective
fix
att
parser
project
background
create
switch
tool
fix
bug
fix
technology
stack
java
maven
pdf
parse
requirement
please
request
access
codebase
http
self
register
http
work
http
repo
fix
att
parser
ensure
parse
file
directory
correctly
make
sure
break
pdf
file
"
30096515,0,"topcoder
connect
project
reporting
",['ReactJS'],['NodeJS'],18,"rahulranjanmca
vlpro
akinwale
sexta13
yumidev
Venkatesh.Pala
jankyzhang
Sunrise_Yang
Bogdan_Mihai
krisjen
codingdrone
para3424
menji
Subapriya
ulasalasreenath
Tomokazu
cs1193
Timor",1,vlpro,863700000,[250.0],['vlpro'],"challenge
overview
challenge
objective
add
new
page
name
report
topcoder
connect
app
contain
statistical
information
challenge
present
various
way
use
number
bar
chart
project
background
topcoder
connect
client
face
application
topcoder
customer
use
topcoder
connect
input
requirement
project
manager
copilot
take
technology
stack
nodejs
react
redux
detail
requirement
challenge
create
projectsummaryreport
component
contain
projectestimation
exist
component
http
projectbudgetreport
new
component
per
design
topcoderdifferencereport
new
component
per
design
create
link
leave
navigation
name
report
show
projectsummary
section
build
create
new
projectsummary
retrieve
hold
state
new
page
follow
exist
consistency
api
function
return
relevant
data
projectbudget
topcoderdifference
note
data
hardcoded
api
function
object
property
use
name
ui
linesofcode
hourssaved
later
replace
external
api
call
repository
http
use
dev
branch
follow
commit
register
access
design
challenge
forum
deployment
guide
update
necessary
"
30096414,0,"percy
editor
webstorm
plugin
update
","['Angular 2+', 'Node.js']",['Other'],5,"akinwale
dhruvit_r
rahulranjanmca
krisjen
codingdrone",2,"dhruvit_r
rahulranjanmca",863700000,[150.0],['dhruvit_r'],"challenge
objective
update
webstorm
plugin
description
fit
lerna
package
structure
project
background
previously
create
percy
editor
run
webapp
electron
app
inside
vscode
editor
find
information
readme
repo
http
also
create
webstorm
plugin
mainly
java
webview
http
technology
stack
angular
lerna
webstorm
plugin
java
gradle
requirement
main
repo
manage
lerna
add
webstorm
package
webstorm
plugin
want
ensure
webstorm
plugin
fit
lerna
package
structure
want
build
command
webstorm
package
automatically
copy
file
repo
want
package
command
package
webstorm
plugin
break
exist
lerna
command
lint
main
repo
readme
update
include
webstorm
plugin
info
also
want
update
webstorm
plugin
valid
data
short
rundown
feature
trigger
editor
plugin
page
webstorm
http
"
