id,name
30120953,"tc
sagemaker
processor
create
dockerfile
deploy
aws
"
30120959,"hugo
wiki
generate
puml
image
preprocessing
step
"
30120749,"topcoder
project
service
fix
random
test
failure
"
30120709,"hugo
run
jenkins
docker
container
"
30120523,"tecams
protect
route
use
react
auth
gaurd
"
30120030,"infant
nutrition
product
scraper
review
scrap
"
30119944,"sonarqube
spotlight
improve
code
unit
test
"
30119771,"facade
hapi
service
update
facade
route
dynamically
"
30119893,"corteva
implement
qc
process
"
30119651,"facade
hapi
service
create
puml
demo
apis
"
30119401,"spotlight
sonarqube
plugin
improve
trend
report
"
30119393,"facade
hapi
service
bug
fix
"
30119331,"poseidon
developer
portal
add
multi
factor
authentication
mfa
"
30119392,"facade
hapi
service
update
demo
apis
"
30119315,"poseidon
devops
setup
secret
aws
secret
manager
"
30119201,"tecams
api
integration
swagger
api
documentation
business
hour
"
30116756,"topcoder
community
app
fix
webpack
error
bundling
"
30119188,"hugo
wiki
make
readme
professional
"
30119060,"tecams
dashboard
api
integration
swagger
api
documentation
"
30119054,"wellmark
cim
mailroom
api
starter
code
integration
"
30119018,"developer
portal
update
prototype
"
30118977,"hugo
wiki
fix
broken
image
link
"
30118975,"wellmark
cim
mailroom
api
update
"
30118873,"topcoder
project
service
improve
local
setup
use
"
30118872,"hugo
wiki
create
detailed
navigation
readme
"
30118870,"hugo
wiki
trigger
jenkins
pipeline
page
wiki
event
"
30117927,"corteva
implement
concatenate
displayname
component
"
30118683,"crm
angular
library
application
update
angular
"
30118653,"topcoder
term
api
update
use
uuids
"
30118642,"facade
hapi
service
create
good
demo
"
30118530,"tecams
mock
api
server
side
logging
"
30118371,"spotlight
sonarqube
plugin
add
chrome
profile
trend
report
"
30118310,"poseidon
api
gateway
configuration
"
30118284,"poseidon
devops
dockerize
frontend
app
"
30118281,"poseidon
secret
manager
configuration
"
30118241,"tecams
mock
api
work
schedule
"
30118158,"popjwt
make
android
app
read
secure
cooky
"
30117975,"corteva
generate
overall
nextflow
report
well
log
component
"
30117966,"convert
markdown
page
static
website
use
hugo
use
jenkins
"
30117883,"corteva
update
pasa
transcript
assembly
"
30117865,"spotlight
sonarqube
page
grey
sometimes
"
30117693,"topcoder
notification
backend
integration
"
30117679,"corteva
trnascan
output
repeatmask
folder
fix
"
30117677,"lsf
nextflow
refactoring
evm
"
30117678,"gff
converter
implementation
"
30117628,"popjwt
check
android
app
cookie
store
properly
"
30117626,"jira
custom
field
update
"
30117554,"spaln
implementation
"
30117549,"lsf
nextflow
refactoring
augustus
"
30117411,"topcoder
legacy
challenge
migration
script
update
readme
"
30117604,"mechanic
inc
create
sankey
diagram
"
30117419,"topcoder
legacy
challenge
resource
processor
update
readme
"
30117420,"topcoder
legacy
challenge
processor
update
readme
"
30117417,"topcoder
resource
e
processor
update
readme
"
30117421,"topcoder
challenge
e
processor
update
readme
"
30117413,"topcoder
challenge
engine
ui
update
readme
"
30117418,"topcoder
resource
api
update
readme
"
30117415,"topcoder
resource
processor
update
readme
"
30117231,"convert
markdown
page
static
website
use
hugo
"
30117228,"asset
track
ui
backend
azure
deployment
"
30117192,"jira
create
custom
field
"
30117102,"topbot
move
dynamodb
table
creation
logic
"
30116827,"asset
track
make
angular
prototype
pwa
"
30116822,"sahara
fix
lint
error
reactjs
app
"
30116788,"topcoder
lookup
api
fix
issue
initial
script
"
30116728,"asset
track
create
instruction
deploy
angular
app
azure
app
service
"
30116508,"crm
fix
issue
previous
challenge
"
30116632,"corteva
pasa
issue
fix
"
30116609,"jira
create
custom
field
"
